title,description,sector,foundation_year,location,url,page
ofri Internet GmbH,Online marketplace that connects tradesmen or service providers with customers.,Software,2011,Zürich,https://www.ofri.ch,157
INCITE MEDICAL SARL,unknown,Medtech,2017,Genève,http://www.incitemedical.ch/,157
Asyril SA,Development of miniaturized mechatronical devices for automation,Engineering,2007,Villaz-St-Pierre,http://www.asyril.ch,158
MaxWell Biosystems AG,High-Content electrophysiology platforms,Biotech,2016,Zurich,https://www.mxwbio.com/,158
Terrasense Switzerland AG,Expert monitoring and consulting services to the field of natural hazards and mining sector,Engineering,2010,Buchs,http://www.terrasense.ch,158
WEDO,Collaborate with ease,Software,2015,Fribourg,https://www.wedo.swiss/,158
re:spondelligent GmbH,Manage online customer reviews smartly to address and amplify a new marketing channel for business owners.,unknown,2017,Gersau,https://respondelligent.com/,158
CARBON DELTA AG ,The environmental fintech,FintechCleantech,2015,Zürich,http://www.carbon-delta.com,158
SwissShrimp AG,Shrimp farm in Switzerland.,Cleantech,2013,Luterbach,http://swissshrimp.ch,158
ARTIDIS AG,Nanotechnology tool for cancer diagnosis and treatment,Medtech,2014,Basel,https://www.artidis.com/,158
Bluebox Shop AG ,Swiss online shop for erotic and lifestyle products,unknown,2014,Glattbrugg,https://www.amorana.ch/,158
Noorik Biopharmaceuticals AG,Developing N-001 for the prevention of vontrast-induced acute kidney injury,Biotech,2010,Riehen,http://www.noorik.com,158
Nomoko AG,Creating a digital twin of the world,SoftwareCleantech,2015,Zurich,http://www.nomoko.world,158
OrbiWise SA,Full solutions for the internet of things,unknown,2014,Plan-Les-Ouates,http://www.orbiwise.com,158
Erib Ltd,Paving the way for a new era of eating habit and cancer,Medtech,2010,Hinterkappelen,http://www.eribch.com,159
POSIC SA,Microcoil inductive position sensors,Engineering,2001,Colombier,http://www.posic.com,159
Pryv SA,"Personal Data and Privacy, Managed.",Software,2012,Lausanne,https://www.pryv.com,159
IPSEITE SA,Integrated management for marketing optimization,Software,2005,Lausanne,http://www.ipseite.com,159
Procivis AG,eGovernment-as-a-Service,SoftwareFintech,2017,Zürich,http://www.procivis.ch/,159
NVT AG ,Treating valvular heart disease as easy and safe as possible,Medtech,2007,Muri,https://www.nvt-med.com/index_en.html,159
Softcar SA,Electric car,Cleantech,2011,La Neuveville,http://www.softcar.ch,159
Edeltech Sàrl,Software development company,Software,2010,Martigny,http://www.edeltech.ch,159
Bitnautic Sagl,Decentralized Freight Quote,SoftwareFintech,2018,lugano,https://www.bitnautic.com/,159
RIBE Moto GmbH,Motorbike as a Service,SoftwareCleantech,2020,Fällanden,https://ribeme.ch/,159
mySwissChocolate AG ,Send a personalized gift around the world,unknown,2010,Pfäffikon,http://www.chocogreets.com,159
flowbone SA,Injectable biomaterial for fracture prevention,Medtech,2020,Renens,https://www.flowbone.com/,159
FoRx Therapeutics AG,DNA Replication Stress for Cancer (DRS) pathways,Biotech,2019,Basel,http://forxtherapeutics.com/,160
simplehouse swiss ag,Modern real estate service provider without commissions,unknown,2018,Schaffhausen,https://www.simplehouse.ch,160
Bestmile SA,Fleet automation platform,SoftwareCleantech,2014,Lausanne,https://bestmile.com/,160
sugarcube Information Technology Sàrl,Making document collection easier,Software,2011,Fribourg,http://www.sugarcube.ch,160
Vidi Systems ,"Enabling computers, machines and robots to make sense of images",unknown,2002,Villaz-St-Pierre,http://www.nivalisgroup.ch,160
Fennex AG,Augmented hearing app,unknown,2017,Meilen,https://www.fennex.io/,160
Pexapark AG,Complete revenue management solution for renewable energy,FintechCleantech,2017,Schlieren,https://pexapark.com,160
eSMART Technologies SA,Complete smart buildings management system,EngineeringCleantech,2011,Ecublens,http://www.myesmart.com/de/,160
kasko2go AG,Fully digitalized automotive insurance products,Fintech,2017,Zug,http://www.kasko2go.com,160
Asecud SA,Advanced Biosensing Technologies for new IVD products,Medtech,2016,Lausanne,https://asecud.com/,160
AgroFly SA,Agricultural spraying revolutionized,unknown,2017,Granges,http://agrofly.ch/en/,160
Biodyssey SA,A professional doctor network ready to help,Software,2008,Lausanne,http://www.docinthecity.com,160
iKentoo SA ,POS solution for hospitality entrepreneurs,Fintech,2011,Les Acacias – Genève,https://www.ikentoo.com,161
Pricenow AG (former Skinow GmbH),SaaS to digitize the skiing industry with dynamic pricing,Fintech,2017,Reichenbach,https://skinow.ch/,161
Linkster Therapeutics AG,unknown,Biotech,2019,Zurich,https://linkstertx.com/,161
CtrlMovie AG,Interactive movie format,unknown,2014,Altishofen,http://www.ctrlmovie.com,161
OxyPrem AG,Brain oxygen monitoring in high-risk preterm infants.,Medtech,2018,Zürich,https://www.oxyprem.com,161
Nanotech SWHL GmbH,Revolutionary lithography for 3D structures,Engineering,2015,Dübendorf,https://nanotech-swhl.com/,161
MaxBrain AG,The preferred learning platform for professionals,Software,2016,Zurich,https://www.maxbrain.com/,161
Lantern Solutions Sàrl,Technology that supports the teacher by providing information about the students’ progress,Software,2012,Lausanne,http://www.lantern.ch,161
Impaakt SA,Measuring the impact of businesses. Together.,unknown,2019,Genève,https://www.impaakt.com/,161
SPORTIWorld Sàrl ,Provide a physical and digital platform for sport,unknown,2017,Genève 6,http://sportiworld.com,161
StartupSpider AG,StartupSpider combines a Startup Community and a DataHub,Fintech,2019,Jonen,http://www.startupspider.com,161
ROCKZ,"AlpRockz Ltd is a Swiss company incorporated in Zug and owned by Swiss-based investors. AlpRockz is the company behind ROCKZ (RKZ), the first legally enforceable stablecoin backed 1:1 by the Swiss Franc.",Fintech,2018,Baar,https://alprockz.io/,161
OPTUNE (by Oscillate AG),B2B platform connecting the live music industry.,unknown,2016,Zurich,https://www.optune.me/,162
BORN Green Technologies AG,Sustainable IT with business outcomes,Software,2012,Zug,http://www.bgreen-technologies.com,162
ONWARD Medical SA,Enabling nervous system rewiring,Medtech,2014,Lausanne,https://www.onwd.com/,162
LatticeFlow AG,Build and Deploy Trustworthy AI,Software,2020,Zürich,https://www.latticeflow.ai,162
TWIICE SA,Exosceleton to walk once again,Medtech,2020,Lausanne,http://www.twiice.ch,162
Ventus Cloud AG,unknown,Software,2019,Tuggen,https://ventuscloud.eu/,162
Decentlab GmbH,Monitoring solutions based on wireless communication technol,EngineeringCleantech,2008,Dübendorf,http://www.decentlab.com,162
HexagonFab,Low-cost drug discovery tools,Engineering,2019,,http://www.hexagonfab.com,162
Yabbedoo SA,Mobile applications for concierge services,Software,2011,Genève,http://www.yabbedoo.com,162
GenomSys,Mobile genomic analysis with maximum privacy &amp; convenience,Biotech,2016,Epalinges,http://www.genomsys.com,162
Alunos AG,Video Health Measurement,Software,2017,,https://alunos.com/,162
Bluebox Shop AG ,Swiss online shop for erotic and lifestyle products,unknown,2014,Glattbrugg,https://www.amorana.ch/,162
CARBON DELTA AG ,The environmental fintech,FintechCleantech,2015,Zürich,http://www.carbon-delta.com,163
Kynoa SA,VR kickers table,unknown,2017,Carouge,https://kynoa.com/,163
Jibrel AG,Traditional financial assets on the Ethereum blockchain,Fintech,2017,Zug,https://jibrel.network/,163
indagia AG,More efficient audit with robotic process automation and art,SoftwareFintech,2018,Freienbach,https://www.indagia.com,163
Antlia AG,Implantable drug delivery devices,Medtech,2008,Lausanne,http://www.ithetis.com,163
eMonitor GmbH,Application management software to find the right apartment,Software,2014,Zürich,http://emonitor.ch,163
Centi AG,Electronic cash payments to benefit consumers,Software,2020,Zurich,https://centi.ch/,163
InCube Group AG,Navigate the challenges in investment and risk management,Fintech,2009,Baar,http://www.incubegroup.com/en/,163
Sensima Technology SA ,Magnetic sensors on a micro-chip,Engineering,2008,Gland,http://www.sensimatech.com,163
Gondola Medical Technologies SA,Treatment for motor symptoms of neurodegenerative diseases,Medtech,2011,Epalinges,https://www.gondola-medical.com/,163
OxyPrem AG,Brain oxygen monitoring in high-risk preterm infants.,Medtech,2018,Zürich,https://www.oxyprem.com,163
Paladino Insurtech AG,Paladino creates contextual insurance solutions.,Fintech,2018,Schlieren,https://paladino-insurtech.com/index.html,163
Gnothis Holding SA,The future is near,Biotech,2004,Lausanne,http://www.gnothis.com,164
Raized.AI AG,VC Investment Intelligence Platform,SoftwareFintech,2019,Zürich,http://www.raized.ai,164
Sedimentum AG,We make living safe,unknown,2019,Zug,unknown,164
SunRegen Healthcare AG,New drug development for neurodegenerative diseases,unknown,2017,Reinach,http://www.sunregen.ch,164
peerspoint SA,Blockchain ecosystem for Sport and leisure federations,SoftwareFintech,2016,Sullens,http://www.peerspoint.com,164
hemotune AG,Magnetic Blood Purification,Medtech,2017,Zürich,https://www.hemotune.ch,164
KriyaBio SA,Transforming injections to oral pills,Biotech,2020,Châtelaine,unknown,164
VAY AG,Making computers understand human motion,Software,2019,Zürich,https://vay.ai/,164
ShemaTic Sarl,Most powerful electric motors for light weight vehicles,EngineeringCleantech,2018,Genève,http://www.shematic.ch,164
re:spondelligent GmbH,Manage online customer reviews smartly to address and amplify a new marketing channel for business owners.,unknown,2017,Gersau,https://respondelligent.com/,164
Enerdrape Sàrl,Turning underground environment into renewable heat sources.,Cleantech,2022,Lausanne,https://enerdrape.com/,164
JOBTOME INTERNATIONAL,unknown,unknown,2014,Stabio,https://weare.jobtome.com,164
Billte AG,We digitize and automatize the entire billing process,Fintech,2018,Adliswil,http://billte.ch/,165
DermoSafe SA,Connected dermoscopy solution supporting skin cancer early detection,Medtech,2012,Lausanne,http://www.dermosafe.com,165
nomos System AG,"nomos system is an unique automation ecosystem capable of controlling connected devices regardless of their communication protocols, standards or propriety software.",SoftwareFintechCleantech,2010,Zürich,https://www.nomos-system.com/,165
findependent,unknown,Fintech,2019,Aarau,https://findependent.ch/,165
Filmwords AG,Interactive TV and advertising,Software,2012,Zürich,https://adtracks.tv,165
MyShipper GmbH,Your China product sourcing specialist,unknown,2016,Glashütten,http://myshipper.ch/,165
beecom AG ,"The best Atlassian products, services and solutions in one",Software,2000,Zürich,http://www.beecom.ch,165
Smartest Learning AG,Automated creation and delivery of tests for learning,Software,2019,Zurich,http://www.smartest-learning.com,165
GuestReady AG,Airbnb management services for short-term rentals,unknown,2016,Trogen,https://www.guestready.com,165
KB Medical SA ,Robotic system for spinal surgery,Medtech,2012,Lausanne,http://kbmedical.com,165
Spirecut,"No skin incision, better surgery!",Medtech,2020,Fribourg,http://www.spirecut.com,165
Trace Technologies SA,Golf driving range system designed to improve core programs and services,Software,2007,Renens,http://tracegolf.com,165
M3AT SA,A revolutionary new disposable urine management system for bedbound patients,Medtech,2009,Botterens,http://www.m3at.com,166
Pexapark AG,Complete revenue management solution for renewable energy,FintechCleantech,2017,Schlieren,https://pexapark.com,166
Polariton Technologies AG,Accelerating Optical Communications.,Engineering,2019,Zürich,https://www.polariton.ch/,166
UbiSim SA,UbiSim is a training platform for nurses,Software,2017,Lausanne,http://www.ubisim.ch/,166
beqom SA,Performance and compensation management software solutions,Software,2009,Nyon,http://www.beqom.com,166
Genohm SA ,Laboratory information management system,Software,2011,Lausanne,http://www.genohm.com,166
Aequitec AG,unknown,Fintech,2020,Zürich,http://www.aequitec.ch,166
AlgoTrader AG,Quantitative trading solutions for financial institutions,SoftwareFintech,2014,Zürich,https://www.algotrader.com,166
EELCEE SA,Composite preforms for structural parts,Engineering,2008,Ecublens,http://www.eelcee.com,166
Buildigo SA ,Find local artisan,unknown,2017,Bussigny,https://www.buildigo.ch,166
Neo Medical SA,Medical device company for thoracolumbar Functional Fusion,Medtech,2013,Villette,https://www.neo-medical.com/en/index,166
Breadwinner AG,Secure cryptocurrency mobile wallet,Fintech,2017,Pfäffikon,https://brd.com/,166
Polariton Technologies AG,Accelerating Optical Communications.,Engineering,2019,Zürich,https://www.polariton.ch/,167
Dotphoton AG,Reliable image data for critical applications and AI,Software,2018,Zug,http://www.dotphoton.com/,167
Medical Insights AG,Medical content aggregator offering speciality-specific medical apps for healthcare professionals,Medtech,2012,Basel,http://www.insights.md,167
Hidacs Sàrl,Your Swiss partner in Signal Processing &amp; Machine Learning,Engineering,2016,Lausanne,http://www.hidacs.com/,167
Perseo pharma AG,Enzymes able to invisibly reach their targets,Biotech,2019,Muttenz,http://www.perseo-pharma.com,167
Elanix Biotechnologies SA,Progenitor cells for accelerated tissue healing,Biotech,2012,Nyon,http://www.elanixbiotechnologies.com,167
Bcomp AG,Superior products from natural fibers,Cleantech,2011,Fribourg,http://www.bcomp.ch/,167
Taxly AG,Create and submit your tax return in less than 10 minutes,Software,2019,Zurich,https://taxly.ch/,167
atfinity GmbH,Optimising bank's client advisory experience with integrated machine learning algorithms,SoftwareFintech,2016,Zurich,https://www.atfinity.io,167
Reha-Stim Medtec GmbH,Rehabilitation devices.,unknown,2010,Schlieren,https://reha-stim.com/,167
Astrivis AG,Turning mobile devices into 3D scanners,Software,2016,Zürich,https://www.astrivis.com/,167
Bee Invested GmbH,A new approach to real estate investments,Fintech,2014,Plan-les-Ouates,https://www.beeinvested.ch,167
EH Group Engineering AG,Fuel cell technology for decarbonised mobility &amp; power,Cleantech,2017,Renens,https://www.ehgroup.ch/,168
MPower Ventures AG ,B2B2C platform for clean energy in emerging markets,Cleantech,2017,Zürich,http://www.mpower.africa,168
GeneLook AG,GeneLook is creating the future of patient-centric medicine,Biotech,2018,Basel-Stadt,http://www.genelook.com,168
FluidSolids AG,Waste to value,EngineeringCleantech,2011,Zürich,http://www.fluidsolids.com,168
Altcoinomy,"The premier facilitator in cryptocurrency due diligence and institutional trading, based in Switzerland.",Fintech,2017,Genève,https://www.altcoinomy.com/,168
Legacy HealthCare (Switzerland) SA ,Breakthrough in oncology supportive care and dermatology,Biotech,2007,Epalinges,http://www.legacyhealthcare.ch,168
BePooler S.A.,Enterprise car-pooling platform,SoftwareCleantech,2015,Lugano,https://www.bepooler.com,168
Levuro AG,Powerful social marketing tool fo the sport industry,unknown,2016,Zürich,https://levuro.com/,168
AirBie AG,AirBie - Smart Bike Lock,EngineeringCleantech,2018,Zurich,https://www.airbie.io,168
kaemco LLC,software for consulting in energy and urban physics,SoftwareCleantech,2013,Corcelles-Concise,http://www.kaemco.ch/,168
T3 Pharmaceuticals AG,Developing the next generation bacterial cancer therapy,Biotech,2015,Basel,http://www.t3pharma.com,168
ALEVO GROUP SA,An Energy Service Provider (ESP) dedicated to solving one of the world's greatest energy challenges,Cleantech,2012,Verbier,http://alevo.com/,168
VirtaMed AG,Simulators for medical training and education,Medtech,2007,Schlieren,https://www.virtamed.com,169
Caressoma AG,Solutions to increase the diagnostic yield with ultrasound.,Medtech,2018,Zurich,http://www.caressoma.com,169
Bestsmile AG,Make dental correction accessible to everyone,unknown,2018,Winthertur,https://bestsmile.com/,169
EYEFITU AG,Digitalization solution for the fashion industry,Software,2012,Herrliberg,https://www.eyefitu.com/,169
Wise Duck Sàrl,Preventive Maintenance for Real Estate,unknown,2020,Savigny,unknown,169
Voliro AG,Aerial robots for in-depth inspection and maintenance.,Engineering,2019,Zürich,https://www.voliro.com/,169
BIM Facility AG,"develop, build and maintain the digital twin as a service",Cleantech,2017,Zürich,http://www.bim-facility.ch,169
Helvitek Labs SA,Anti pollution face mask customized to the user's morphology,unknown,2020,Lausanne,https://helvitek.com/en/about-us/,169
MeinEinkauf AG,Delivery to Switz erland from all online shops,unknown,2012,St.Gallen,https://meineinkauf.ch,169
onCyt Microbiology AG ,High-Resolution Microbial Monitoring and Laboratory Automation,Cleantech,2017,Zürich,http://oncyt.com/,169
MaxDeTec AG,Particle detection devices,Engineering,2010,Zürich,http://www.maxdetec.ch,169
Auxivo AG,Wearable supports devices that support and protect workers.,Engineering,2019,Schwerzenbach,http://www.auxivo.com,169
Planted Foods AG,Planted meats.,unknown,2019,Zürich,https://www.planted.ch/,170
Koa Switzerland GmbH,Cocoa fruit juice for responsible value creation,Cleantech,2017,Zürich,http://www.koa-impact.com,170
ACTUS / Ariadne,Ariadne Business Analytic providing Financial Analytic tools,SoftwareFintech,2015,Nänikon,https://www.ariadne.swiss/,170
Gene Predictis SA,Predictive medicine inferred from genetics,Biotech,2004,Lausanne,https://www.genepredictis.com/,170
miVital AG,Revolutionary active agent resorption,unknown,2017,St. Gallen,http://www.mivital.ch,170
picterra SA,We bring new source of knowledge to society,FintechCleantech,2016,ecublens,https://www.picterra.ch/,170
Frontify AG,Online platform to help brands create brand expererinces,Software,2013,St. Gallen,https://www.frontify.com/en/,170
beecom AG ,"The best Atlassian products, services and solutions in one",Software,2000,Zürich,http://www.beecom.ch,170
Bright Peak Therapeutics AG,Next-generation engineered cytokines,Biotech,2017,Basel,https://www.versantventures.com/portfolio/brightpeak-therapeutics,170
Olympe SA,Platform for tangible digital transformation,Software,2015,Lausanne,https://olympe.io,170
Croply,Simplifies your farms business operations,Software,2020,Altendorf,https://www.croply.org/,170
uniqFEED AG,Entirely software-based virtual advertising technology,Software,2015,Glattbrugg,https://www.uniqfeed.com/,170
onCyt Microbiology AG ,High-Resolution Microbial Monitoring and Laboratory Automation,Cleantech,2017,Zürich,http://oncyt.com/,171
MotionPilot SA,The ultimate flight experience,Engineering,2017,Ecublens,https://motionpilot.ch/,171
Centagora Sàrl,Watchmaking and microtechnic products,Engineering,2008,Les Geneveys-sur-Coffrane,http://www.centagora.com,171
iSense AG,Taste industry marketplace,Engineering,2018,Zurich,https://www.isensegroup.com/,171
MesenFlow Technologies Sàrl,Translational solutions.,Biotech,2018,Plan-les-Ouates,http://www.mesenflow.com/,171
VAY AG,Making computers understand human motion,Software,2019,Zürich,https://vay.ai/,171
See Your Box Sàrl,IoT based B2B tracking service,SoftwareCleantech,2018,Renens,https://seeyourbox.com/,171
UrbanAlps AG,Stealth Key: world's first 3D metal printed key,Engineering,2014,Zürich,http://www.urbanalps.com,171
Talentory AG,Leading international recruitment platform,unknown,2009,Zürich,https://www.talentory.com,171
Metaco SA,Next generation of financial technologies,Fintech,2014,Lausanne,https://metaco.com,171
Eyra Ltd,"Develop future technologies that harness the power of AI, Deep Learning and Computer Vision, to improve life for present and future generations.",unknown,2015,Lugano,http://eyra.io/,171
Matterhorn Biosciences AG,T cell receptor therapies,Biotech,2019,Allschwil,unknown,171
Alpine Institute for Drug Discovery SA,Commercializing academic discoveries with therapeutic potential,Biotech,2013,Lausanne,http://www.aidd.ch,172
smartcockpit SA,Software solution that helps you create and share valuable and synthetic information,Software,2013,Carouge,http://www.smartcockpit.ch,172
minespider GmbH,Blockchain protocol for responsible mineral sourcing,Fintech,2018,Zug,https://www.minespider.com/,172
Dextens SA,Sensor technology and gas measuring systems,Engineering,2011,Plan-les-Ouates ,http://www.dextens.ch,172
Yaler GmbH,"Relay infrastructure for secure, controlled and manageable access to embedded systems",unknown,2011,Zürich,https://yaler.net,172
rready AG,unknown,unknown,2021,Zürich,https://www.rready.com/,172
Houzy AG ,Digital property management solution,unknown,2017,Zollikon,https://www.houzy.ch/,172
Securecell AG,Process analytics and automation in bioprocess engineering,Biotech,2009,Urdorf,https://securecell.ch/en/,172
SportsNow GmbH,"Innovative concept for the sports, fitness and health industry",unknown,2015,Bern,https://www.sportsnow.ch,172
Lunchgate AG ,Online gastronomy platform,Software,2010,Zürich,http://www.foratable.ch,172
bNovate Technologies SA,Spezialized in fully automated online flow cytometry,Biotech,2011,Lausanne,https://www.bnovate.com/,172
atfinity GmbH,Optimising bank's client advisory experience with integrated machine learning algorithms,SoftwareFintech,2016,Zurich,https://www.atfinity.io,172
n'cloud.swiss AG,Enterprise cloud solutions,unknown,2004,Seengen,https://ncloud.swiss/en/,173
Polariton Technologies AG,Accelerating Optical Communications.,Engineering,2019,Zürich,https://www.polariton.ch/,173
IMburse AG,Integration-free access to global payments ecosystem,Software,2018,Zurich,https://www.imbursepayments.com,173
gender app Müller,Office add-in (SaaS) for gender inclusive german language,Software,2022,Basel,http://genderapp.org/,173
Stonestep AG,Microinsurance as a service,Fintech,2012,Zug,http://www.stonestep.ch,173
Wild Foods GmbH,The vegan alternative to Lox,unknown,2020,Kiental,https://www.wildfoods.ch,173
DRUGDESIGNTECH SA ,Computational solutions to support drug discovery,Biotech,2006,Plan les Ouates,http://www.drugdesigntech.com,173
qiio AG,Secure edge-to-cloud solution for IoT based on cellular,Cleantech,2014,Zürich,http://www.qiio.com,173
Alentis Therapeutics AG,Novel Approaches for Treatment of Advanced Liver Disease and Cancer,Biotech,2019,Basel,https://alentis.ch/,173
Taurus Group SA,Swiss digital asset custody solution,Fintech,2018,Geneva,https://www.taurusgroup.ch/,173
ReHaptix GmbH,Medical app to measure and track upper limb impairments in patients suffering from a neurological injury,Medtech,2013,Zurich,http://rehaptix.com,173
Infrasens,Suite of products and software to digitize infrastructure,Software,2017,Brig,http://infra-sens.io/,173
Enairys Powertech SA,Hydro-pneumatic energy conversion and storage solutions,Cleantech,2008,Lausanne,http://www.enairys.com,174
apelab SARL,apelab is a swiss studio focusing on the future of interactive entertainment adapted to today’s digital media and devices.,unknown,2014,Les Acacias,http://apelab.ch,174
Crypto Real Estate AG (SwissRealCoin) ,Real estate crypto token,SoftwareFintech,2017,Zug,https://www.swissrealcoin.ch/,174
EnviroScopY SA,3D environmental monitoring and modeling,Software,2006,Lausanne,http://www.enviroscopy.ch/,174
Saphetor SA,Analysis of genetic variation from next-generation sequencing data,Biotech,2014,Lausanne,https://saphetor.com/,174
Velobility AG,Public cycling solutions,EngineeringCleantech,2010,Cham,http://www.velobility.net,174
Kiara Health AG,Innovative diagnostic and drug discovery tools,Biotech,2001,Johannesburg,http://www.ayanda-biosys.com,174
Solaxess SA,White solar technology,unknown,2015,Marin-Epagnier,http://solaxess.ch,174
SunRegen Healthcare AG,New drug development for neurodegenerative diseases,unknown,2017,Reinach,http://www.sunregen.ch,174
Ecocook,unknown,unknown,2022,Lausanne,unknown,174
56K.Cloud GmbH,Cloud and container professionals,unknown,2018,Zurich,https://56k.cloud/,174
Noorik Biopharmaceuticals AG,Developing N-001 for the prevention of vontrast-induced acute kidney injury,Biotech,2010,Riehen,http://www.noorik.com,174
Skwoll SA,Around a drink,Software,2018,crans-montana,https://www.skwoll.com/,175
Performance Buildings AG,If smart is not enough,Software,2008,Regensdorf,http://www.performancebuildings.ch,175
Cronodeal SA,Offer Platform.,unknown,2013,Bussigny,https://cronodeal.ch,175
Verity AG,Autonomous indoor drone systems,Engineering,2014,Zurich,https://verity.ch/,175
KeyLemon SA (aquired by AMS),Innovative and convenient services based on biometric identity authentication,Software,2008,Martigny,http://www.keylemon.com,175
Ampard AG ,Control- and asset-management system to realize complex decentralized storage solutions,Cleantech,2011,Zürich,http://ampard.com,175
Mitipi AG,Intelligent anti-theft system,SoftwareCleantech,2018,Zürich,http://mitipi.com/,175
ProcSim Consulting Sàrl,Flow management and process optimization,Software,2007,Lausanne,https://procsim.ch/language/en/home-3/,175
Mobino SA,Mobile payment platform,SoftwareFintech,2011,Genève,http://www.mobino.com,175
Dermolockin GmbH,Medical Thermal Imaging,Medtech,2014,Winterthur,http://www.dermolockin.com,175
PriceHubble AG,Big data and artificial intelligence for real estate markets,SoftwareFintech,2016,Zürich,http://www.pricehubble.com,175
PMFch SA,Un système d'assemblage rapide pour des solutions sur mesure!,Engineering,2013,Neyruz,http://pmfch.ch,175
Flatfox AG,Stress-free flat-hunting,Software,2012,Zürich,https://flatfox.ch,176
Frater GmbH,Heating infusion line preventing hypothermia and death ultimately.,Medtech,2016,Naters,http://www.frater.swiss,176
Properti AG,Tech real estate broker,Software,2019,Horgen,https://www.properti.ch,176
Raptor Compliance GmbH,SaaS solution for legal &amp; compliance managers,unknown,2017,Zurich,https://www.raptorcompliance.com/,176
frater.swiss,Coating to heat infusion liquid anytime and everywhere,Medtech,2022,Naters,http://www.frater.swiss,176
Netsensing Technology,Pionneer in Digital Health,Medtech,2019,Neuchâtel,http://www.netsensing.ch,176
wemakeit.ch GmbH,"Crowdfunding platform for art, music, film, design and other creative projects",Fintech,2012,Zürich,http://wemakeit.ch,176
mikafi GmbH,Coffee roasting without expertise for gastronomic companies.,Software,2019,Luzern,http://www.mikafi.com,176
Kreditfabrik AG,Efficiency for the Future,Fintech,2016,Horgen,https://kreditfabrik.ch/,176
onefusion AG (1nfusion),Flow sensing technology,Medtech,2016,Zürich,http://www.1nfusion.com,176
CONCEPTIVITY Sàrl,Supply chain security and trade facilitation,unknown,2010,Meyrin 1,http://www.conceptivity.ch,176
Prexton Therapeutics SA ,Innovative drugs to improve the quality of life of people who suffer from Parkinson’s disease,Biotech,2012,Plan les Ouates,http://www.prextontherapeutics.com,176
Bcomp AG,Superior products from natural fibers,Cleantech,2011,Fribourg,http://www.bcomp.ch/,177
Novaremed AG  ,Treatment against diabetic neuropathic pain,Biotech,2017,Basel,https://www.novaremed.com/,177
Startupmetrics GmbH,Enhance a startup's attractivity towards investors,Fintech,2020,Zurich,unknown,177
Finform AG ,Efficient processing and real-time verification of formal compliance-relevant documents,Fintech,2016,Bern,https://www.finform.ch,177
UNITEDINTERIM GmbH,unknown,unknown,2017,Küsnacht ZH,https://www.unitedinterim.com/,177
Monte Rosa Therapeutics AG,Pioneering Therapies for Cancer and Beyond,Biotech,2018,Basel,https://www.monterosatx.com/,177
Enairys Powertech SA,Hydro-pneumatic energy conversion and storage solutions,Cleantech,2008,Lausanne,http://www.enairys.com,177
mybacs GmbH,Travel supplement with a regionally adapted formula.,unknown,2018,Baar,https://mybacs.co/,177
superVX AG (ezycount),Simplify accounting,Fintech,2013,Sion,https://www.ezycount.ch,177
Edeltech Sàrl,Software development company,Software,2010,Martigny,http://www.edeltech.ch,177
NovaGo Therapeutics AG,Developing human antibody therapeutics targeting cerebral stroke and spinal cord injury,Biotech,2015,Zurich,http://www.novagotherapeutics.com,177
Aximetria GmbH,Swiss crypto account,Fintech,2018,Zug,https://www.aximetria.com/,177
GenLots SA,GenLots brings machine learning to the supply chain.,Software,2017,Lausanne,https://www.genlots.com/,178
Pristem SA,Digital radiography systems for emerging markets,Medtech,2015,Lausanne,http://www.pristem.com,178
TWIICE SA,Exosceleton to walk once again,Medtech,2020,Lausanne,http://www.twiice.ch,178
Decentlab GmbH,Monitoring solutions based on wireless communication technol,EngineeringCleantech,2008,Dübendorf,http://www.decentlab.com,178
Idosharing AG,First and last mile car sharing solution,Cleantech,2022,Zurich,https://www.idosh.me/,178
The Singularity Group AG,Rethink Innovation Investments,Fintech,2017,Zurich,https://www.singularity-group.com/,178
mbassador GmbH,unknown,Software,2010,Luzern,http://www.mbassador.ch,178
Linguistic Search Solutions AG,Linguistic identity matching,Software,2008,Baar,http://www.linguisticsearchsolutions.com,178
BITC Sàrl,Swiss Bitcoin ATM network,Fintech,2014,Tavannes,https://bitc.ch/,178
Swissloop,Future of transportation.,EngineeringCleantech,2017,Meilen,unknown,178
CashSentinel SA,Payment services provider for marketplaces,Fintech,2012,Lausanne,http://www.cashsentinel.com,178
SonoView Acoustic Sensing Technologies Ltd liab. Co,Development and commercialization of 3D ultrasound breast sc,Medtech,2010,Nidau,unknown,178
Neon Switzerland AG,Mobile Banking solution,Fintech,2017,Zürich,http://www.neonbanking.com/,179
avaloq ,Financial technology and services provider,SoftwareFintech,1993,Zürich,http://www.avaloq.com,179
Semantic Hub Sàrl,Platform for rare diseases diagnostics,Software,2019,Lausanne,http://www.semantic-hub.com/,179
dimpora AG,Novel porous membranes for outdoor clothing.,EngineeringCleantech,2019,Zürich,http://www.dimpora.com,179
Sherpany AG,Productive leadership meetings,Software,2011,Zürich,http://www.sherpany.com,179
Octeris AG,Making recruitment a better experience for everyone involved.,Software,2018,Steinhausen,https://www.octeris.com,179
Geosatis SA,GPS ankle bracelet,Engineering,2011,Le Noirmont,https://geo-satis.com/de/,179
Numab Therapeutics AG,Innovates and develops antibody-based therapeutics,Biotech,2016,Wädenswil,http://www.numab.com,179
DINACO - digital native company AG,360° Eventmanagement Software,Software,2019,Feusisberg,https://www.dinaco.io/,179
